Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Adrián\Adrian,es ESP,GK,Liverpool,33,1987,3,3,270,3,3,3,6.33,3.33,52.6,0.33,0.33,0.33,0.33,33.3,0,0,0,0,
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,10,10,100,0,0,0,0,,0,0,0,0,
Alisson\Alisson,br BRA,GK,Liverpool,27,1992,33,33,2970,33,0.97,0.97,3.36,2.48,74.8,0.55,0.24,0.21,0.3,30.3,0.24,0.12,0.03,0.09,20
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,36,36,3240,36,1.33,1.33,4.33,3.17,73.1,0.14,0.36,0.5,0.25,25,0.17,0.17,0,0,0
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,7,6,585,6.5,1.23,1.23,3.38,2.31,68.2,0.31,0.31,0.31,0.31,33.3,0.15,0.15,0,0,0
Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,27,1993,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,
David Button\David-Button,eng ENG,GK,West Brom,31,1989,1,1,90,1,2,2,7,5,71.4,1,0,0,0,0,0,0,0,0,
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,38,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,
Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,34,1985,1,1,90,1,3,3,3,1,33.3,1,0,0,0,0,2,1,1,0,50
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,33,1986,3,3,270,3,0.67,0.67,4,3.33,83.3,0.67,0,0.33,0.33,33.3,0,0,0,0,
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,2250,25,1.72,1.72,4.8,3.24,66.7,0.28,0.16,0.56,0.16,16,0.16,0.12,0.04,0,25
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,31,1989,13,13,1170,13,1.46,1.46,4.54,3.23,69.5,0.38,0.38,0.23,0.23,23.1,0.08,0.08,0,0,0
Ederson\Ederson,br BRA,GK,Manchester City,26,1993,36,36,3240,36,0.78,0.78,2.33,1.75,75,0.69,0.14,0.17,0.53,52.8,0.22,0.19,0.03,0,12.5
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35,1985,35,35,3150,35,1.26,1.26,3.83,2.74,69.4,0.49,0.23,0.29,0.29,28.6,0.17,0.09,0.06,0.03,40
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,32,1988,8,8,720,8,1.38,1.37,3.5,2.38,67.9,0.5,0,0.5,0.25,25,0.38,0.25,0.13,0,33.3
