Squad,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xA,npxG+xA
Arsenal,29,25.9,53.8,53,38,47,6,6,49,5,53.5,49,36.6,85.5
Aston Villa,24,25.2,48.1,52,38,47,5,6,71,4,53,48.6,37.2,85.7
Brighton,27,25.8,51.3,39,24,33,6,9,49,6,51.6,44.8,33,77.8
Burnley,25,28.3,41.7,32,20,29,3,3,48,0,39.6,37.3,26.8,64.2
Chelsea,27,26,61.4,56,38,48,8,10,51,3,64,56.4,42.4,98.8
Crystal Palace,24,29.1,40.1,39,29,36,3,4,56,2,32.5,29.6,21,50.5
Everton,29,26.3,46.5,45,32,41,4,5,59,2,47,43.3,32.9,76.2
Fulham,28,25.2,49.9,26,18,23,3,6,67,3,40.5,36.8,27.8,64.6
Leeds United,23,26.1,57.6,60,45,56,4,4,61,1,57.5,54.5,42.5,97
Leicester City,27,26.5,54.6,64,45,54,10,12,61,0,56,46.9,33.1,80
Liverpool,28,26.8,62.4,65,43,59,6,6,40,0,72.6,68.2,50,118.2
Manchester City,24,26.1,63.9,82,55,77,5,9,46,2,73.3,66.5,50.9,117.4
Manchester Utd,29,25.6,55.8,70,51,60,10,11,64,1,60.2,51.9,40.5,92.4
Newcastle Utd,27,27.1,38.2,44,26,38,6,7,65,3,40.9,35.3,25.9,61.2
Sheffield Utd,27,26.7,41.5,19,13,16,3,4,73,3,31.5,28.4,22.7,51.1
Southampton,29,26.6,52.2,47,33,42,5,6,52,3,42.4,37.9,27.4,65.3
Tottenham,24,27.2,51.7,66,50,61,5,5,57,2,54.6,50.8,35.5,86.3
West Brom,30,26.4,37.6,33,20,29,4,4,51,4,33.8,30.7,21.2,52
West Ham,24,27.8,42.9,60,46,58,2,4,50,3,54,50.8,36.9,87.7
Wolves,27,26.3,49.3,34,21,30,4,4,55,1,39.9,36.8,26.5,63.3
